Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Comments 1x ),Post_Type
UW–Madison Arboretum,uwarboretum,6969,2022-10-04 16:08:00 EDT,10/4/22,16:08:00,Album,45,45,0,0,FALSE,https://www.instagram.com/p/CjTf057hYmK/,https://www.instagram.com/p/CjTf057hYmK/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310387608_1621749591555802_2979627654823163824_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Nn4xQoc9I0gAX9PFyxl&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfADoDg8FrO-AOOyJiCfr_dhLW7h4OzmmXW-7SWY6u-pFg&oe=6365D111,,"We have many events coming up, for a range of interests. Join us for nature walks, a family program, or a public talk. Volunteer your time or take a class. Link in bio for events calendar with details and class registration links.",,,,-4.09,Album_Video
UW–Madison Arboretum,uwarboretum,6962,2022-09-29 15:03:53 EDT,9/29/22,15:03:53,Photo,87,85,2,0,FALSE,https://www.instagram.com/p/CjGghDyh9b5/,https://www.instagram.com/p/CjGghDyh9b5/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/309625591_623868689194249_2136588529853370952_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=xux1Yrabu60AX8eYujf&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBwyb4OCH6fkJFvXPUlSTfoU5gmbyBHg2EJVN__dvYO8w&oe=63662055,,"It's almost October and that means the fall lecture series is coming up soon. Speakers will explore ways of restoring ecosystems, relationships with the land, food systems, and community health. Talks are free and in person at the Visitor Center, no registration required. Link with details in bio.",,,,-1.28,Photo
UW–Madison Arboretum,uwarboretum,6963,2022-09-28 16:34:54 EDT,9/28/22,16:34:54,Photo,83,82,1,0,FALSE,https://www.instagram.com/p/CjEGIxCBwG0/,https://www.instagram.com/p/CjEGIxCBwG0/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/309154284_804631200877380_2987791423885638403_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=1DQKRVIQQQ8AX_XVVo2&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfATTTntzkmQa_pBL1wjzoBugzZaxtnpKbX_eQZ0ZQUa0g&oe=6365130C,,"The 2022 Arboretum Research Fellows recently met with Darcy Kind from the Wisconsin Department of Natural Resources and Mike Hansen from the Arboretum to learn about land management. During a tour in the Wingra Oak Savanna, the group gained a deeper understanding of how management decisions are made. They heard about similarities and differences between public and private land management decisions. These meetings are designed to enhance the Fellows education, networks, and understanding of the Arboretum. See link in bio to learn more about the Fellows and their research.",,,,-1.34,Photo
UW–Madison Arboretum,uwarboretum,6949,2022-09-20 12:09:08 EDT,9/20/22,12:09:08,Photo,35,35,0,0,FALSE,https://www.instagram.com/p/CivBXTQhypM/,https://www.instagram.com/p/CivBXTQhypM/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/308028617_1200604834121300_376576569161005366_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=cbfVmWK4S28AX8OTfLP&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCoP7MjFLBzg4iznKFygFe--k5fujHpy0VyIrVAyvxSwg&oe=6366CBBD,,"Our fall lecture series is coming up in October. Speakers will explore ways of restoring ecosystems, relationships with the land, food systems, and community health. Talks are free and in person at the Visitor Center, no registration required. Link with details in bio.",UW-Madison Arboretum Fall Lectures 2022 OCTOBER 11 Relationship and Connection- Community and Ecological Restoration OCTOBER 20 Restoring Healthy Food Connections on Madison's South Side OCTOBER 25 Dream of Wild Health 7 to 8:30 p.m. in the Visitor Center,,,-3.17,Photo
UW–Madison Arboretum,uwarboretum,6913,2022-09-08 17:57:15 EDT,9/8/22,17:57:15,Photo,226,225,1,0,FALSE,https://www.instagram.com/p/CiQvqfJB5EU/,https://www.instagram.com/p/CiQvqfJB5EU/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/305838210_603892364535959_5747576619063590276_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=uj-uRrINsuMAX_8VjR-&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDA9JSzUAKjycZkkAozIhdU-E8XLLP2ueQiYGxjylwfXg&oe=63656377,,"Our team is growing! We’re hiring two full-time staff positions: a data and GIS coordinator to join our research team, and an adult and community engagement coordinator to join the education unit. Applications due September 30. Links in bio.",,,,2.04,Photo
UW–Madison Arboretum,uwarboretum,6877,2022-08-24 10:38:16 EDT,8/24/22,10:38:16,Photo,64,64,0,0,FALSE,https://www.instagram.com/p/ChpVgE_AE9J/,https://www.instagram.com/p/ChpVgE_AE9J/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/301075211_619501976197009_5431201643918516199_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=kN7otNwCuYUAX_PMTbw&_nc_oc=AQkI1Ifh-8Wlu3tVHCcZ8iIVvTPdPL_xnbjnK27PmdqLkiNYX9bem7TsrTaYrkNqAlY&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAEVXfyLfPDcfsBNQuuamNXV3NtIsal4HMyzi8VOSEPTw&oe=6365AE82,,"We have only a few spots left for the September 18 Native Gardening Conference. Enjoy an inspiring and informative day dedicated to native plant gardening. Learn from experts, network with fellow gardeners, and come away with enthusiasm and insight. This year's keynote speaker is Alan Branhagen from the @mn_arb. The conference welcomes people with a range of interests and experience. Sign up soon! A wait list will also be available. Link in bio.",Native by Design: Gardening for a Sustainable Future Join us for the UW Arboretum's 2022 native gardening conference,,,-1.73,Photo
UW–Madison Arboretum,uwarboretum,6872,2022-08-23 12:46:53 EDT,8/23/22,12:46:53,Photo,130,129,1,0,FALSE,https://www.instagram.com/p/Chm_bK8hGkO/,https://www.instagram.com/p/Chm_bK8hGkO/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/300956601_852685605699950_2420267805552112420_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=GTquMyWyS8sAX-usfbQ&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDucXZ8yOEu0aPd8rThvgZy8NKRJlE3qQ3P1GxkkopIVw&oe=6365538F,,"We have two student job openings: a visitor center assistant and an assistant ranger. Students are an integral part of Arboretum operations – come join our team! Visit the UW–Madison student jobs board and search ""Arboretum."" Applications are due August 29. Link in bio.",,,,1.17,Photo
UW–Madison Arboretum,uwarboretum,6820,2022-08-03 15:31:56 EDT,8/3/22,15:31:56,Photo,83,82,1,0,FALSE,https://www.instagram.com/p/CgzyanyBhBw/,https://www.instagram.com/p/CgzyanyBhBw/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/288397744_450719880248264_8012389374717430929_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ypXLU24OACUAX-pTxbL&_nc_oc=AQn1oiqy6L09D6iS1PjDAWtreJqIwksf2rGCll6RbY8akX6SEvikkveKaNoWKoHet10&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBnCWxmzG_bEG3DXlrE7_EfKScicLPP78C8GQ4M3YIwaw&oe=63654782,,"If yard and garden fertilizers are improperly applied, excess nutrients can wash into our lakes and contribute to algae growth that gets in the way of summer fun. Learn about steps you can take to minimize your impact if you do choose to use it: https://ripple-effects.com/yardAndGarden. #ProtectOurLakes",Arboretum UNVERSITY VISCONSIN MADISON #ProtectOurLakes pua 1 Don't let this turn into this.,,,-1.34,Photo
UW–Madison Arboretum,uwarboretum,6779,2022-07-13 12:01:01 EDT,7/13/22,12:01:01,Photo,87,87,0,0,FALSE,https://www.instagram.com/p/Cf9VlefAT9Z/,https://www.instagram.com/p/Cf9VlefAT9Z/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/293000386_3229014730716894_6906863315996726712_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=UK8DPWTJYq0AX-Mobo8&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAyiVfAyBJYfGA7Nv7G-CrGCEiQR6zg-bdaSgaW4gwAiQ&oe=63662D73,,"Looking to enjoy nature-based activities together with your young ones and prairie scenery this summer? 

Join us on August 9 for ""Learning Together – Animals in the Prairie."" Walk by plants taller than you as we look for animals that live among prairie grasses and wildflowers. There is much to discover! This class is for preschool-aged children and their adult caregivers. 

Come explore! Events calendar link in bio.",,,,-1.28,Photo
UW–Madison Arboretum,uwarboretum,6749,2022-07-05 13:33:45 EDT,7/5/22,13:33:45,Photo,45,45,0,0,FALSE,https://www.instagram.com/p/Cfo51tvtPrA/,https://www.instagram.com/p/Cfo51tvtPrA/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/291840433_170953935416993_7173183769953746420_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=xi7iCnw5vPgAX8aI8KQ&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDjUtkmm_VNWX4fyheUAT_v7RSIehb9pmbZzvOZFYcdzQ&oe=636510A1,,"Raising your mower blade height to at least 2.5 inches can help grow a full, dense lawn. This allows your yard to soak up the rain and helps prevent stormwater from carrying pollutants into our beautiful local lakes. More here: https://ripple-effects.com/yardAndGarden#lawn. #SoakUpTheRain",Arboretum UNIVERSIT WISCONSIN- MADISON #SoakUpTheRain #SoakUp TheRain ម Keep your lawn long for beautiful lakes!,,,-2.47,Photo
UW–Madison Arboretum,uwarboretum,6725,2022-06-15 09:49:33 EDT,6/15/22,9:49:33,Album,197,188,9,0,FALSE,https://www.instagram.com/p/Ce1ASV4rpmm/,https://www.instagram.com/p/Ce1ASV4rpmm/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/287939887_1069899527287784_7994725832451524674_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=92iPz8UeqAYAX9eZN-d&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCkAUbnBwgJEPH4n7XWgKa1DDoPiHMQz4fYVuJtn9UQxg&oe=635FADE8,,"Lets #EndPlantBlindness and meet the ginkgo! This tree has been around for over 170 million years. In the Jurassic age, this tree produced a malodorous fruit that the 🦕 dinosaurs loved. The ginkgo has also been known to survive the Hiroshima nuclear bomb. Today, we can most commonly find the ginkgo along our streets because it is urban tolerant. #ginkgo #uwarboretum #madisonwi #strongplants #urban
.
.
.
This spring, the Arboretum was a “client” for students in a Social Media Analytics class. They visited the Arboretum and listened to unique tree stories told by curator David Stevens. Then they created Instagram posts to tell these stories and address plant blindness. Here is one of the posts created by Maci, Ryan, and Isabel to raise awareness about plant blindness. Story link in bio. @kaipingchen23 @uwmadison_lsc #scicomm #LSC375 #plantblindness",,,,1.07,Album_Video
UW–Madison Arboretum,uwarboretum,6725,2022-06-15 09:48:54 EDT,6/15/22,9:48:54,Album,81,81,0,345,FALSE,https://www.instagram.com/p/Ce1ANkKrmZr/,https://www.instagram.com/p/Ce1ANkKrmZr/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/287996976_433588278288990_129428649643838679_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=8GhfxripcXgAX8lYNKw&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT9dczdfqk66muOVNWEA3MzVSYUYldJ-uW-5Boa96bAa4Q&oe=635C2A63,,"Something special about witch hazel is that its flowers bloom during the colder months. If you need a pick-me-up during Wisconsin’s winter, come visit these beautiful bushes! #UWArboretum #WisconsinNature #WitchHazel #Bloom #MadisonWI
.
.
.
This spring, the Arboretum was a “client” for students in a Social Media Analytics class. They visited the Arboretum and listened to unique tree stories told by curator David Stevens. Then they created Instagram posts to tell these stories and address plant blindness. Here is one of the posts created by Luke, Brooke, Jazlyn, and Zhuoer to share a unique plant story. Story link in bio. @kaipingchen23 @uwmadison_lsc #scicomm #LSC375 #plantblindness",,,,-2.33,Album_Video
UW–Madison Arboretum,uwarboretum,6724,2022-06-14 12:46:29 EDT,6/14/22,12:46:29,Video,53,53,0,759,FALSE,https://www.instagram.com/tv/CeyvjTTgte7/,https://www.instagram.com/tv/CeyvjTTgte7/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/288267103_2091721751013258_7431313360486609233_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=CBPdE_N17rQAX_oqOAf&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT9Oc_uXGL4vQQYD7umlwIk6fLmdROgVgMZhhZ9zbjNTHQ&oe=6358160E,,"Why does the fruit of ginkgo trees stink? And what does that have to do with dinosaurs? Volume on for the answer. 

This spring, the Arboretum was a “client” for students in a Life Sciences Communication Social Media Analytics class. They visited the Arboretum to hear Longenecker Horticultural Gardens curator David Stevens tell stories like this one about unique trees. Then they created Instagram posts to share the stories and help address plant blindness. A few of the students’ posts are coming soon! @kaipingchen23 @uwmadison_lsc #scicomm #LSC375 #plantblindness",,,,-1.96,Album_Video
UW–Madison Arboretum,uwarboretum,6713,2022-06-10 17:16:51 EDT,6/10/22,17:16:51,Album,203,202,1,0,FALSE,https://www.instagram.com/p/Ceo7gHuPO2d/,https://www.instagram.com/p/Ceo7gHuPO2d/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/286941660_560816655434425_3322208920925626816_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=j2UBM5uToF0AX9kRY6o&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT_2WkZTaIMrYbpTZfie_lUFdVdLKHyX0KyMJnKiaX7A4A&oe=6357A34F,,"So many native plants are blooming! Here is a sampling: large-flowered penstemon, blue harebell, white wild indigo, golden Alexander, spiderwort, prairie rose, wild columbine, Canada anemone. #winativeplants #prairies #nativeplantgardens #restoration",,,,1.07,Album_Video
UW–Madison Arboretum,uwarboretum,6707,2022-06-08 11:29:48 EDT,6/8/22,11:29:48,Photo,22,22,0,0,FALSE,https://www.instagram.com/p/CejKMPMMkdW/,https://www.instagram.com/p/CejKMPMMkdW/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/286904552_174297594975409_3638205061533257945_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Qh4I9YK4aPEAX_G-ZVE&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT8AC1vqyOcEV6jlenSMhsapUy2HAoFt8AMebEdWb1BzyA&oe=6356DBA4,,"Not only do rain barrels help prevent flooding from excess stormwater, they also provide a free source of water for your garden! Learn more about purchasing and setting up your barrel here (styles and colors vary): https://ripple-effects.com/rainBarrels. #SoakUpTheRain",Arboretum UNIVERSIT VISCONSIN- MADISON #SoakUp MANK TheRain Capture rain from your roof- and moments like this- with the help of a rain barrel!,,,-5.27,Photo
UW–Madison Arboretum,uwarboretum,6690,2022-06-01 14:58:48 EDT,6/1/22,14:58:48,Video,48,47,1,417,FALSE,https://www.instagram.com/tv/CeRgcxUAog3/,https://www.instagram.com/tv/CeRgcxUAog3/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/285207780_3085595008372464_7639137536636472763_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=5INISLfE5x4AX9L3XDc&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT9jazMp8dRvf-n2DRgCWjw7RMnFXGAGR-N8DEQISSOVIg&oe=63569D06,,"#Repost @uwmadison with @make_repost
・・・
Ever wonder why you find yourself tiptoeing around an abundance of earthworms on the sidewalk after it rains? Brad Herrick, a #UWMadison ecologist and research program manager at the @uwarboretum, explains this 🪱 phenomenon.",× uwmadison,,,-2.17,Album_Video
